Iteration 0: x = -1.960000, y = -1.960000, f(x, y) = 8.311537
Iteration 1: x = -2.077056, y = -2.077056, f(x, y) = 10.927002
Iteration 2: x = -1.743055, y = -1.743055, f(x, y) = 26.948941
Iteration 3: x = -2.335914, y = -2.335914, f(x, y) = 41.192545
Iteration 4: x = -1.750222, y = -1.750222, f(x, y) = 26.098641
Iteration 5: x = -2.343536, y = -2.343536, f(x, y) = 42.073313
Iteration 6: x = -1.773767, y = -1.773767, f(x, y) = 23.316892
Iteration 7: x = -2.359618, y = -2.359618, f(x, y) = 43.847001
Iteration 8: x = -1.827336, y = -1.827336, f(x, y) = 17.337893
Iteration 9: x = -2.346378, y = -2.346378, f(x, y) = 42.395435
Iteration 10: x = -1.782857, y = -1.782857, f(x, y) = 22.257453
Iteration 11: x = -2.362176, y = -2.362176, f(x, y) = 44.117767
Iteration 12: x = -1.836327, y = -1.836327, f(x, y) = 16.420184
Iteration 13: x = -2.337735, y = -2.337735, f(x, y) = 41.405157
Iteration 14: x = -1.755736, y = -1.755736, f(x, y) = 25.444541
Iteration 15: x = -2.348532, y = -2.348532, f(x, y) = 42.637166
Iteration 16: x = -1.789856, y = -1.789856, f(x, y) = 21.450889
Iteration 17: x = -2.362779, y = -2.362779, f(x, y) = 44.181025
Iteration 18: x = -1.838461, y = -1.838461, f(x, y) = 16.207084
Iteration 19: x = -2.335429, y = -2.335429, f(x, y) = 41.135631
Iteration 20: x = -1.748764, y = -1.748764, f(x, y) = 26.271689
Iteration 21: x = -2.342088, y = -2.342088, f(x, y) = 41.907916
Iteration 22: x = -1.769202, y = -1.769202, f(x, y) = 23.852983
Iteration 23: x = -2.357569, y = -2.357569, f(x, y) = 43.627895
Iteration 24: x = -1.820230, y = -1.820230, f(x, y) = 18.084797
Iteration 25: x = -2.351958, y = -2.351958, f(x, y) = 43.017297
Iteration 26: x = -1.801181, y = -1.801181, f(x, y) = 20.167214
Iteration 27: x = -2.361267, y = -2.361267, f(x, y) = 44.021881
Iteration 28: x = -1.833116, y = -1.833116, f(x, y) = 16.744251
Iteration 29: x = -2.341022, y = -2.341022, f(x, y) = 41.785472
Iteration 30: x = -1.765866, y = -1.765866, f(x, y) = 24.246054
Iteration 31: x = -2.355748, y = -2.355748, f(x, y) = 43.431360
Iteration 32: x = -1.813979, y = -1.813979, f(x, y) = 18.756001
Iteration 33: x = -2.355931, y = -2.355931, f(x, y) = 43.451154
Iteration 34: x = -1.814603, y = -1.814603, f(x, y) = 18.688396
Iteration 35: x = -2.355574, y = -2.355574, f(x, y) = 43.412481
Iteration 36: x = -1.813385, y = -1.813385, f(x, y) = 18.820479
Iteration 37: x = -2.356262, y = -2.356262, f(x, y) = 43.487022
Iteration 38: x = -1.815737, y = -1.815737, f(x, y) = 18.565883
Iteration 39: x = -2.354903, y = -2.354903, f(x, y) = 43.339591
Iteration 40: x = -1.811100, y = -1.811100, f(x, y) = 19.069367
Iteration 41: x = -2.357461, y = -2.357461, f(x, y) = 43.616316
Iteration 42: x = -1.819858, y = -1.819858, f(x, y) = 18.124327
Iteration 43: x = -2.352219, y = -2.352219, f(x, y) = 43.046004
Iteration 44: x = -1.802052, y = -1.802052, f(x, y) = 20.069692
Iteration 45: x = -2.361024, y = -2.361024, f(x, y) = 43.996273
Iteration 46: x = -1.832264, y = -1.832264, f(x, y) = 16.830986
Iteration 47: x = -2.341857, y = -2.341857, f(x, y) = 41.881427
Iteration 48: x = -1.768477, y = -1.768477, f(x, y) = 23.938299
Iteration 49: x = -2.357197, y = -2.357197, f(x, y) = 43.587842
Iteration 50: x = -1.818946, y = -1.818946, f(x, y) = 18.221545
Iteration 51: x = -2.352846, y = -2.352846, f(x, y) = 43.114882
Iteration 52: x = -1.804153, y = -1.804153, f(x, y) = 19.835447
Iteration 53: x = -2.360367, y = -2.360367, f(x, y) = 43.926662
Iteration 54: x = -1.829957, y = -1.829957, f(x, y) = 17.067119
Iteration 55: x = -2.344039, y = -2.344039, f(x, y) = 42.130631
Iteration 56: x = -1.775365, y = -1.775365, f(x, y) = 23.129801
Iteration 57: x = -2.360214, y = -2.360214, f(x, y) = 43.910378
Iteration 58: x = -1.829420, y = -1.829420, f(x, y) = 17.122424
Iteration 59: x = -2.344531, y = -2.344531, f(x, y) = 42.186507
Iteration 60: x = -1.776931, y = -1.776931, f(x, y) = 22.946804
Iteration 61: x = -2.360737, y = -2.360737, f(x, y) = 43.965881
Iteration 62: x = -1.831255, y = -1.831255, f(x, y) = 16.934019
Iteration 63: x = -2.342826, y = -2.342826, f(x, y) = 41.992305
Iteration 64: x = -1.771523, y = -1.771523, f(x, y) = 23.580171
Iteration 65: x = -2.358674, y = -2.358674, f(x, y) = 43.746383
Iteration 66: x = -1.824054, y = -1.824054, f(x, y) = 17.680575
Iteration 67: x = -2.349094, y = -2.349094, f(x, y) = 42.699905
Iteration 68: x = -1.791698, y = -1.791698, f(x, y) = 21.240177
Iteration 69: x = -2.362741, y = -2.362741, f(x, y) = 44.177076
Iteration 70: x = -1.838328, y = -1.838328, f(x, y) = 16.220368
Iteration 71: x = -2.335576, y = -2.335576, f(x, y) = 41.152897
Iteration 72: x = -1.749205, y = -1.749205, f(x, y) = 26.219284
Iteration 73: x = -2.342532, y = -2.342532, f(x, y) = 41.958735
Iteration 74: x = -1.770598, y = -1.770598, f(x, y) = 23.688876
Iteration 75: x = -2.358250, y = -2.358250, f(x, y) = 43.700915
Iteration 76: x = -1.822582, y = -1.822582, f(x, y) = 17.835622
Iteration 77: x = -2.350236, y = -2.350236, f(x, y) = 42.826856
Iteration 78: x = -1.795458, y = -1.795458, f(x, y) = 20.812305
Iteration 79: x = -2.362412, y = -2.362412, f(x, y) = 44.142557
Iteration 80: x = -1.837162, y = -1.837162, f(x, y) = 16.336602
Iteration 81: x = -2.336844, y = -2.336844, f(x, y) = 41.301326
Iteration 82: x = -1.753030, y = -1.753030, f(x, y) = 25.765464
Iteration 83: x = -2.346174, y = -2.346174, f(x, y) = 42.372474
Iteration 84: x = -1.782201, y = -1.782201, f(x, y) = 22.333585
Iteration 85: x = -2.362059, y = -2.362059, f(x, y) = 44.105419
Iteration 86: x = -1.835912, y = -1.835912, f(x, y) = 16.461851
